species,description,image
truswa,"Huge white bird with long neck and all-black bill. Immatures dusky gray-brown with pink on bill. Forages in shallow, vegetated wetlands reaching under the water for plants, and walks through corn stubble. Breeds in freshwater marshes and ponds. Winters on any open body of water where food is available. Extremely similar to Tundra Swan, but never shows yellow on bill. Also, note subtle features of face: facial skin is relatively broad where it meets eye, so the eye doesn't stand out, and border between white face and black bill is straight (curved on Tundra). From head-on, the border of the bill and forehead is usually pointed (straight or curved on Tundra). Often in pairs or family groups. Almost went extinct in early 20th century, but population has rebounded and been reintroduced to some areas.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59954771/900
tuftit,"Common backyard bird in the eastern U.S. Look for its overall gray plumage with paler underparts and orangey sides. Crest is gray, but forehead is black. Often in flocks with chickadees and other songbirds. Listen for clear, whistled ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63745741/900
tunswa,"Huge white bird with a long elegant neck. North American “Whistling” Tundras have a mostly black bill, with a yellow spot near the eye; Eurasian “Bewick’s” have a more evenly divided black-and-yellow bill. Immatures dusky gray-brown with pink on bill. Easily confused with Whooper and Trumpeter Swans where their ranges overlap; see those species’s accounts. Breeds on ponds and tundra in far north. Winters in large flocks on fresh or saltwater. Forages in shallow, vegetated wetlands, reaching under the water for plants, and walks through corn stubble. Gives loud echoing bugles, often while in flight.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59956021/900
veery,"Warm-colored thrush, with bright reddish-brown tones above, buffy breast, and white belly. Spots are indistinct and washed out, concentrating on upper breast. Beautiful song is cascading spiral of flute-like notes. Found in a variety of wooded habitats, often favoring wetter areas. Winters in South and Central America; very rare in the U.S. after October, unlike Hermit Thrush.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67469161/900
vesspa,"Large, drab, streaky sparrow of grasslands, second growth, and bare ground. Most distinctive in flight, when it flashes white outer tail feathers. Also note the thin white eyering and rufous shoulder (often hidden). Forages mainly on the ground. Song usually starts with a couple clear introductory notes, followed by a series of trills and chips.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64980841/900
vigswa,"Purple and green back (dark in poor light), white below. Females and immatures are duller on the back, can be dusky gray. Smaller and shorter-tailed than Tree Swallow; also note the extensive white cheek wrapping above the eye and white on rump sides. Often found near water. Nests in cavities.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68279821/900
warvir,"Drab gray bird lacks any distinctive features. Eyebrow is slightly paler than rest of head and underparts lack patterning. Monotonous warbling song is heard from treetops, particularly in riparian areas and cottonwoods throughout the summer. Winters in Central America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65763751/900
wesblu,"Adult males have dark blue head, back, and wings. Breast and sides are deep orange with orange sometimes bleeding onto back. Females are grayer overall with orange on breast, blue usually restricted to wings and tail. Favors fields with some trees and open woods. Often in small groups. Frequently perches on wires or fence posts. Nests in cavities. Range barely overlaps Eastern Bluebird, but note orange on back of males and grayer belly and sides of neck on female.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67472541/900
wesgre,"Large grebe with very thin, long, yellow-green bill. Very long neck. Black cap extends below red eye. Long, gray body rides low in the water. Similar to Clark's Grebe, which shows white surrounding the eye, very bright yellow-orange bill, and paler gray sides. Breeds in marshes; mostly found on saltwater bays and open ocean in winter.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65071971/900
weskin,"Fairly large flycatcher, barely smaller than a robin. Favors open habitats with tall shrubs and trees. Usually seen on an obvious perch. Most similar to Cassin's Kingbird, with a gray head and yellow belly. Cassin's is not as widespread. Western is separated by paler gray head that fades to whiter throat and breast. Also note black tail with white edges (white stripe along vertical edge of outer tail feathers).",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65683361/900
wesmea,Streaked brown above with distinctive black ,https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67378741/900
wessan,"Small shorebird, falls into category called ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64827111/900
westan,Adult males are bright yellow with black back and red head. Females are dull yellow with grayish wings and two yellow wingbars. Breeds mainly in coniferous forests at higher elevation. Often high in trees; listen for male's burry song. Winters in Central America.,https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67449081/900
wewpew,"Drab grayish flycatcher found in forested areas and edges. Usually seen on a high perch as it watches for prey, then sallies out to snatch insects. After these short flights, it often (but not always) returns to the same perch. Nondescript plumage with dull wingbars. Note the song, which is a buzzy, descending ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65617091/900
whbnut,"Frequents backyards, parks, and suburbs; favors mature deciduous trees. White face contrasts with black cap and blue-gray upperparts; belly is slightly grayer with brown on the undertail. Creeps along tree trunks and branches, often upside down, in search of seeds and insects. Small, roughly sparrow-sized with large head, no neck, and long, slightly upturned bill. Listen for insistent nasal yammering. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68039391/900
whcspa,"Large, long-tailed sparrow. Breast is plain gray without streaks. Bill color varies from yellow to pink, but always brighter than White-throated Sparrow. Adults have bold black-and-white head pattern and are gray from throat to belly. Immatures are browner. Often in brushy areas, hopping on ground or in low shrubs. Visits feeders.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64978031/900
whfibi,"Long decurved bill. Dark overall with iridescent green and reddish tones on adults. Broad white border to reddish face and red eyes. Found mainly in shallow wetlands of the western U.S. Best distinguished from Glossy Ibis by range and facial pattern. Also note more subtle features: reddish legs and paler bronzy tones to wings.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70695751/900
whtspa,"Large, long-tailed sparrow. Plain gray-brown breast lacks bold streaks and contrasts with white throat. Grayish bill, unlike White-crowned Sparrow. Usually shows yellow in front of the eye. Found in woods, forest edge, thickets and shrubby fields. Visits feeders. Two morphs with different head colors: white-striped and tan-striped.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64980371/900
whtswi,"The only swift in U.S. and Canada that is not all-dark; white throat, breast, and patches on sides of rump are unique. Longer tail than Vaux's Swift. Narrower wings and different flight style than swallows. Found most commonly around rocky cliffs in deserts; ventures more extensively during nonbreeding season. Listen for its descending series of harsh, screeching notes.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66114531/900
wilfly,"Small flycatcher, extremely similar to several other species. Prefers shrubby open areas, especially around marshes. Western population prefers understory in riparian woods. Brownish above and pale below with barely any eyering. Wings dark with distinct white wingbars (brownish in Western population). Nearly identical to Alder Flycatcher; once considered the same species. Also compare with Least Flycatcher, which is very similar but has slightly shorter wingtips and a bolder eyering. Willow is larger, larger-headed, and longer-billed than other species of small flycatcher in the West; also note lack of a distinct eyering. Best identified by voice: song is a sneezing ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/38663041/900
wilsni1,"Plump, camouflaged shorebird that blends into wet meadows and marshy areas. Similar in shape to American Woodcock but much darker, with brown markings on underparts and striped face. Exceptionally long bill is used for probing into mud. On breeding grounds, watch and listen for aerial flight display, which includes a rapid series of hoot-like noises produced by the outer tail feathers.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64829071/900
wiltur,"Among the largest birds in North America. The large-bodied, long-legged and small-headed look of a turkey is distinctive. Appears dark from a distance. Often seen in small groups in open fields near woods. Gobbling often audible in the spring and early summer.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65616101/900
winwre3,"Tiny, short-tailed, plain-brown wren with a huge voice. Subtly patterned, with indistinct pale eyebrow and diffuse dark barring on flanks and wings. Constantly keeps tail cocked at an angle. Found in a variety of forested habitats, but always prefers wetter areas with thick tangles, often around treefalls and moss. Darker, smaller, and shorter-tailed than House Wren. Incredibly beautiful song is a long series of musical whistles and trills; an unmistakable and common sound in northern forests. Call is a dry, low ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68035611/900
wlswar,"Small, bright yellow warbler with olive upperparts. Many have a distinctive black cap. Compared with Yellow Warbler, note its small size, smaller bill, and relatively longer, thinner tail. Forages in dense shrubs for insects. Winters in Central America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64914601/900
wooduc,"Breeding males are stunning with ornate, colorful patterns visible up close; appears dark overall at a distance. Females gray-brown with thin white eyering. Crest on head. Found in wetlands and flooded woods. Flies through trees with exceptional maneuverability, thanks to its long tail. Often shy and quick to flush. Call is a loud, screeching whistle.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65533521/900
wooscj2,"Attractive jay of oak woodlands and piñon-juniper forests. Royal blue above with gray-brown back and dirty grayish underparts. Flight style is often distinctive, a series of quick wingbeats followed by a stiff glide. Typically in small groups. Listen for their scratchy, nasal calls. Regularly visits backyards and feeders. Western Scrub-Jay was split into two species: Woodhouse's and California Scrub-Jay. California Scrub-Jay, which is brighter and more contrasty is found west of the Cascades and Sierra Nevada.



",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70581631/900
woothr,"Boldly patterned thrush is bright rusty-brown above with black spots on the white belly. Smaller than a robin, but larger than Hermit Thrush. Sticks to wooded areas, often hopping on the ground. More often heard than seen: listen for its incredible, flute-like song. Population is declining; winters in Central America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/170865181/900
y00475,"Plump, chicken-like bird that acts like a duck. Gray overall with blacker head and white bill. Tiny tail and short wings. Feet are large, yellow-green, and oddly lobed. Head jerks back and forth when swimming. Forages for aquatic vegetation anywhere with water: ponds, city parks, marshes, reservoirs, lakes, ditches, and saltmarshes.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/71547131/900
yebfly,"Small flycatcher, extremely similar to several other species. Generally shy and inconspicuous; breeds in spruce forests often near boggy areas. Migrants tend to be found in denser wet areas within woods. Olive-greenish above with distinctive yellow wash on throat and belly. Black wings with bold white wingbars. Nearly identical to Pacific-slope and Cordilleran Flycatchers, but no range overlap. Within range, main confusion species is Least Flycatcher. Bright yellow throat and belly is usually enough to identify Yellow-bellied Flycatcher, but some worn birds can be very similar. Song is similar to Least Flycatcher (",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/160814931/900
yebsap,This woodpecker specializes in drilling rows of sap wells into tree bark. Eats insects attracted to the sap. Larger than Downy Woodpecker and smaller than Hairy; often looks disheveled compared to these species. Look for the vertical white stripe on the shoulder. Adult males show red cap and throat; females have red cap and white throat; and juveniles are messy brownish-gray overall. Nests in cavities.,https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65051951/900
yehbla,"Males black with yellow head and white patch on the wing. Females all dark brown with some yellow on head and breast. Breeds in marshes. Often in flocks with other blackbirds in winter, foraging on the ground. Grating, mechanical song.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67376561/900
yelwar,"Typically yellow overall, but some immatures can be almost completely gray. Some have reddish-brown streaks below. Always looks uniform and plain-faced. Forages for insects in wooded and shrubby areas, often fairly low to the ground. Favors riparian habitats, edges of ponds, marshes, and woods, particularly where willows are present. Winters in Central America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64802871/900
yerwar,"One of the most common and widespread warblers. Breeds in forested areas with at least some conifers. Found in open woods and shrubby areas during migration and winter, including coastal vegetation, parks, and residential areas. Forages for insects, often sallying out to snatch them in midair. Also eats berries in winter. Often travels in large flocks. Two subspecies: ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66119101/900
yetvir,"Bright yellow throat and prominent yellow eyering set this vireo apart. Grayish above with bold white wingbars. Burry song phrases ring through the canopy of deciduous woodlands; often favors tall trees near water. Thick, slightly hooked bill characteristic of vireos helps separate this species from Pine Warbler. Winters in Central and South America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65760791/900
